iso,dipole,hw_dipole,tr38901
-63.783142,-62.68712,-62.58111,-85.78314
-63.73854,-62.626938,-62.514603,-85.73853
-63.36257,-62.14073,-61.983093,-85.362564
-63.149834,-61.87481,-61.69493,-85.14984
-62.646576,-61.266052,-61.04126,-84.64659
-62.60514,-61.21772,-60.98996,-84.60514
-62.24601,-60.79889,-60.545235,-84.246
-63.247948,-61.994446,-61.823593,-85.247955
-63.49626,-62.308716,-62.165283,-85.49626
-63.66983,-62.533295,-62.410805,-85.66983
-63.695465,-62.567856,-62.449005,-85.695465
-63.720963,-62.60132,-62.485725,-85.72097
-63.784416,-62.68535,-62.578087,-85.78442
-63.792686,-62.695328,-62.588776,-85.79269
-63.78058,-62.68048,-62.572815,-85.78057
-63.726273,-62.60868,-62.49391,-85.72627
-63.69609,-62.56717,-62.447784,-85.6961
-63.687134,-62.555878,-62.43554,-85.68713
-63.632965,-62.486404,-62.35981,-85.632965
-63.605614,-62.450577,-62.32054,-85.60561
-63.13968,-61.86035,-61.678658,-85.13969
-62.90882,-61.578568,-61.375313,-84.90882
-62.687637,-61.31398,-61.092155,-84.68764
-62.763687,-61.402542,-61.18608,-84.76369
-63.10485,-61.815117,-61.629036,-85.10484
-63.51142,-62.326218,-62.18377,-85.51141
-63.567947,-62.39971,-62.264244,-85.56794
-63.582832,-62.416794,-62.28222,-85.58284
-63.709946,-62.58397,-62.46579,-85.709946
-63.72985,-62.60869,-62.492462,-85.72984
-63.735344,-62.617188,-62.502197,-85.73534
-63.76059,-62.649277,-62.537064,-85.76058
-63.771477,-62.664825,-62.55449,-85.771484
-63.776924,-62.672318,-62.562828,-85.77692
-63.804,-62.7069,-62.60045,-85.80399
-63.80812,-62.713104,-62.6075,-85.80811
-63.79477,-62.69461,-62.586906,-85.79476
-63.785995,-62.684708,-62.576553,-85.785995
-63.76169,-62.65132,-62.539482,-85.76169
-63.705048,-62.578392,-62.459938,-85.70504
-63.550415,-62.376938,-62.23931,-85.550415
-63.278435,-62.0307,-61.86226,-85.278435
-63.176346,-61.90345,-61.724464,-85.176346
-62.85897,-61.51735,-61.309242,-84.85897
-62.381348,-60.951195,-60.70494,-84.38134
-62.79946,-61.444443,-61.230614,-84.79946
-62.834938,-61.486046,-61.274826,-84.83494
-63.364937,-62.136795,-61.97654,-85.36493
-63.454124,-62.250687,-62.100693,-85.45412
-63.69889,-62.56591,-62.444878,-85.69889
-63.704422,-62.575027,-62.455452,-85.70442
-63.810165,-62.71425,-62.608276,-85.810165
-63.674706,-62.53505,-62.411285,-85.674706
-63.665703,-62.52343,-62.398598,-85.6657
-63.638565,-62.48806,-62.359863,-85.638565
-63.60211,-62.439842,-62.306824,-85.60212
-63.37819,-62.154495,-61.99608,-85.37819
-63.323715,-62.08615,-61.92196,-85.32372
-62.497498,-61.0869,-60.849136,-84.4975
-62.24185,-60.790283,-60.534676,-84.24185
-62.420387,-60.99639,-60.752808,-84.42039
-62.554337,-61.151924,-60.9177,-84.55435
-62.88761,-61.54786,-61.340553,-84.88761
-63.154366,-61.873367,-61.69097,-85.15436
-63.32753,-62.0878,-61.9227,-85.32753
-63.541534,-62.361008,-62.22049,-85.541534
-63.556526,-62.37832,-62.23874,-85.556526
-63.61248,-62.450745,-62.317947,-85.61248
-63.71334,-62.582108,-62.461784,-85.71334
-63.718857,-62.59114,-62.47226,-85.71885
-63.78028,-62.672623,-62.56189,-85.78027
-63.812714,-62.71531,-62.608734,-85.81271
-63.824265,-62.72854,-62.622635,-85.824265
-63.81555,-62.7191,-62.612907,-85.81555
-63.81224,-62.71412,-62.60726,-85.81223
-63.8089,-62.70865,-62.600906,-85.8089
-63.719475,-62.592003,-62.473213,-85.71947
-63.583786,-62.415283,-62.2797,-85.583786
-63.56536,-62.390434,-62.252205,-85.56537
-63.258675,-62.002678,-61.83078,-85.258675
-63.10904,-61.816628,-61.62941,-85.10903
-62.93965,-61.60901,-61.40558,-84.93965
-62.956863,-61.629257,-61.427116,-84.95688
-63.448288,-62.239113,-62.086746,-85.44829
-63.571457,-62.39554,-62.256912,-85.57146
-63.627213,-62.467613,-62.33568,-85.62721
-63.647522,-62.494522,-62.365303,-85.647514
-63.707825,-62.5729,-62.451065,-85.707825
-63.81066,-62.70997,-62.602066,-85.81066
-63.82885,-62.734055,-62.62854,-85.82886
-63.83294,-62.73787,-62.632233,-85.83294
-63.75495,-62.636093,-62.520798,-85.754944
-63.65323,-62.501534,-62.37285,-85.65323
-63.537598,-62.35263,-62.210266,-85.5376
-63.528297,-62.339867,-62.196083,-85.5283
-63.456818,-62.248474,-62.09645,-85.45682
-63.238823,-61.974426,-61.79901,-85.238815
-62.876495,-61.532486,-61.323364,-84.876495
-62.31099,-60.868217,-60.616455,-84.31099
-62.266174,-60.816574,-60.56183,-84.26619
-62.75682,-61.388336,-61.16874,-84.75682
-63.008087,-61.68953,-61.491234,-85.00809
-63.13163,-61.84088,-61.654358,-85.13162
-63.148087,-61.860268,-61.674988,-85.14809
-63.606834,-62.44034,-62.305588,-85.606834
-63.641922,-62.48442,-62.353355,-85.64192
-63.7782,-62.664375,-62.551132,-85.7782
-63.808594,-62.70334,-62.593582,-85.80859
-63.81398,-62.710762,-62.601837,-85.81398
-63.840836,-62.744987,-62.639053,-85.840836
-63.839577,-62.745575,-62.640373,-85.83958
-63.835,-62.737846,-62.63137,-85.835
-63.823006,-62.72262,-62.614838,-85.823
-63.760406,-62.63877,-62.522354,-85.76041
-63.518982,-62.327057,-62.18184,-85.51899
-63.38414,-62.154633,-61.993805,-85.38415
-63.135788,-61.845543,-61.65924,-85.13579
-63.00284,-61.683723,-61.485207,-85.00283
-62.828186,-61.472,-61.25766,-84.828186
-62.863426,-61.513367,-61.30166,-84.863434
-63.025024,-61.709457,-61.51245,-85.025024
-63.041916,-61.729347,-61.5336,-85.041916
-63.45775,-62.2453,-62.09156,-85.45775
-63.60118,-62.42978,-62.293015,-85.60118
-63.71675,-62.57981,-62.45717,-85.71675
-63.736633,-62.605247,-62.48488,-85.736626
-63.792404,-62.67997,-62.56729,-85.7924
-63.8227,-62.718613,-62.60933,-85.82269
-63.84697,-62.75209,-62.646545,-85.84697
-63.76922,-62.649673,-62.53411,-85.76921
-63.71266,-62.57354,-62.449997,-85.71266
-63.676834,-62.526794,-62.398796,-85.67684
-63.66783,-62.514915,-62.385727,-85.66783
-63.428337,-62.208633,-62.051895,-85.42833
-63.27468,-62.0166,-61.84384,-85.27467
-62.314514,-60.867783,-60.614304,-84.31451
-62.37384,-60.936295,-60.68683,-84.37385
-62.528214,-61.115295,-60.876526,-84.528206
-63.092148,-61.78853,-61.59659,-85.09215
-63.29963,-62.044304,-61.872704,-85.29962
-63.352974,-62.11239,-61.946945,-85.352974
-63.595512,-62.419067,-62.280228,-85.59551
-63.65097,-62.49096,-62.358864,-85.65097
-63.67115,-62.51779,-62.388443,-85.67115
-63.731148,-62.59604,-62.47413,-85.73114
-63.75096,-62.621323,-62.501663,-85.75097
-63.781555,-62.663452,-62.548462,-85.781555
-63.811935,-62.70337,-62.592278,-85.81193
-63.862183,-62.76886,-62.66394,-85.86219
-63.86093,-62.766228,-62.660744,-85.86093
-63.837044,-62.73651,-62.62867,-85.837036
-63.833725,-62.73033,-62.621323,-85.833725
-63.80429,-62.692474,-62.58004,-85.80429
-63.622543,-62.454407,-62.318985,-85.62254
-63.61342,-62.442078,-62.30533,-85.61341
