path_id,delay_s,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,channel_gain_db,rss_power_w,rss_power_dbm
149,5.090621e-07,152.71863,-1.12596354e-07,0.0,1.12596354e-07,3.1415927,-138.96951,1.2677929903826278e-16,-128.96951293945312
150,5.2689063e-07,158.06718,9.477585e-10,0.0,9.477585e-10,0.0,-180.46603,8.982471401780535e-21,-170.46603393554688
151,4.2797598e-07,128.39279,-1.9283498e-06,0.0,1.9283498e-06,3.1415927,-114.29628,3.7185329143131496e-14,-104.29627990722656
152,4.9224e-07,147.67201,1.5950226e-06,0.0,1.5950226e-06,0.0,-115.944664,2.5440920867919083e-14,-105.94466400146484
153,5.802532e-07,174.07596,4.1375046e-09,0.0,4.1375046e-09,0.0,-167.66524,1.7118930584257963e-19,-157.6652374267578
154,5.455366e-07,163.66098,-4.83431e-10,0.0,4.83431e-10,3.1415927,-186.31331,2.3370580627395393e-21,-176.3133087158203
155,5.16392e-07,154.9176,-6.950872e-07,0.0,6.950872e-07,3.1415927,-123.15922,4.8314687313584775e-15,-113.15921783447266
156,5.433957e-07,163.0187,1.652034e-07,0.0,1.652034e-07,0.0,-135.63962,2.7292166537164046e-16,-125.63961791992188
157,1.1457739e-06,343.73218,-1.533169e-08,0.0,1.533169e-08,3.1415927,-156.2882,2.3506148631235773e-18,-146.28819274902344
158,6.087594e-07,182.62782,-9.40682e-09,0.0,9.40682e-09,3.1415927,-160.53114,8.848833879162315e-19,-150.53114318847656
159,4.6136412e-07,138.40924,4.941297e-08,0.0,4.941297e-08,0.0,-146.12318,2.4416417881958527e-17,-136.12318420410156
160,5.5318293e-07,165.95488,-2.1560298e-09,0.0,2.1560298e-09,3.1415927,-173.3269,4.648456805163099e-20,-163.326904296875
161,5.9181036e-07,177.5431,1.81655e-09,0.0,1.81655e-09,0.0,-174.81505,3.299860308547856e-20,-164.81504821777344
162,9.2646155e-07,277.93848,-3.101556e-08,0.0,3.101556e-08,3.1415927,-150.16841,9.61962414179153e-18,-140.1684112548828
163,5.323453e-07,159.7036,2.6837088e-07,0.0,2.6837088e-07,0.0,-131.4253,7.20228832797661e-16,-121.42529296875
164,5.1076574e-07,153.22972,3.2153804e-07,0.0,3.2153804e-07,0.0,-129.85536,1.0338640632213654e-15,-119.85536193847656
